store_id,store_name,franchise_name,si_do,si_gun_gu,eup_myeon_dong,category,monitoring_partner_id,lat,lng,enterprise_registration_number
73982,셀렉토커피 산본로데오점,셀렉토커피(맥스원이링크),경기도,군포시,산본동,카페/베이커리/디저트,337,37.36001585,126.93050070,7570701481
73982,셀렉토커피 산본로데오점,셀렉토커피(맥스원이링크),경기도,군포시,산본동,카페/베이커리/디저트,337,37.36001585,126.93050070,7570701481
73983,●셀렉토커피 신길아이파크점,셀렉토커피(맥스원이링크),서울특별시,영등포구,신길동,카페/베이커리/디저트,677,37.50436780,126.90419600,5011355987
73983,●셀렉토커피 신길아이파크점,셀렉토커피(맥스원이링크),서울특별시,영등포구,신길동,카페/베이커리/디저트,677,37.50436780,126.90419600,5011355987
73984,만랩커피 용인상현점,"",경기도,용인시 수지구,상현동,카페/베이커리/디저트,881,37.30941215,127.08581000,2504300581
73985,미사역)BHC치킨1층(건물뒤쪽,BHC치킨(비에이치씨),경기도,하남시,망월동,치킨,759,37.56106498,127.19076692,1262621063
73986,(동판교)쉐프의삼겹살,"",경기도,성남시 분당구,삼평동,서양식,1287,37.40189030,127.10584460,5305800026
73987,수3)남다른감자탕(H),"",대구광역시,수성구,수성동3가,한식,838,35.85931648,128.61883405,5022826664
73988,백팩커스파티,"",서울특별시,마포구,서교동,한식,1473,37.55368101,126.91431305,1052185217
73989,북촌손만두 상암점,"",서울특별시,마포구,상암동,한식,830,37.58141714,126.88880760,4293000168
73990,설빙 도계점,설빙(설빙),경상남도,창원시 의창구,도계동,카페/베이커리/디저트,731,35.25684502,128.63992931,6082474258
73990,설빙 도계점,설빙(설빙),경상남도,창원시 의창구,도계동,카페/베이커리/디저트,731,35.25684502,128.63992931,6082474258
73991,웰돈카츠,"",경기도,평택시,용이동,치킨,1017,36.99829062,127.13224202,6684800448
73992,하우스파스타,"",경기도,평택시,용이동,서양식,2118,36.9965846,127.1320297,5081262518
73993,웅이네반찬,"",경기도,평택시,용이동,반찬류,2118,36.9968180,127.1391684,5950501953
73994,셀렉토커피 구리갈매점,셀렉토커피(맥스원이링크),경기도,구리시,갈매동,카페/베이커리/디저트,1444,37.63252880,127.11651320,2461401316
73994,셀렉토커피 구리갈매점,셀렉토커피(맥스원이링크),경기도,구리시,갈매동,카페/베이커리/디저트,1444,37.63252880,127.11651320,2461401316
73995,미사역)반장떡볶이1층,"",경기도,하남시,망월동,분식,759,37.5606929,127.1917852,1934200675
73996,신정동 경일부품,"",울산광역시,남구,달동,의류/잡화,600,35.53832153,129.32310444,1298701790
73997,60계 경인교대,"",인천광역시,계양구,계산동,치킨,1055,37.53794618,126.72233689,4112850363
73998,좌동 상상짬뽕,"",부산광역시,해운대구,좌동,중식,466,35.17277428,129.17633689,3920401551
73999,김밥천국 경인교대,"",인천광역시,계양구,계산동,한식,1055,37.53795387,126.71976613,1074607087
74000,남서울커피,"",서울특별시,관악구,신림동,카페/베이커리/디저트,313,37.48480256,126.91294100,7751301457
74001,(인도금지)오떡 새롬동(조리시간),"",세종특별자치시,"",새롬동,분식,1937,36.48436835,127.25228510,5576500368
74002,셀렉토커피 남성역점,셀렉토커피(맥스원이링크),서울특별시,동작구,사당동,카페/베이커리/디저트,2115,37.48294782,126.97384312,2904900484
74002,셀렉토커피 남성역점,셀렉토커피(맥스원이링크),서울특별시,동작구,사당동,카페/베이커리/디저트,2115,37.48294782,126.97384312,2904900484
74003,써브웨이 분당수내점,써브웨이(써브웨이코리아),경기도,성남시 분당구,수내동,카페/베이커리/디저트,599,37.37760014,127.11291544,4282601022
74004,반구동 경남상사,"",울산광역시,중구,반구동,의류/잡화,1161,35.56753900,129.34217707,6201073631
74005,이디야커피 성남수정구청점,이디야커피(이디야커피),경기도,성남시 수정구,신흥동,카페/베이커리/디저트,718,37.45021203,127.14647997,8033500828
74006,선릉역 매운떡볶이 반포점,"",서울특별시,서초구,반포동,분식,592,37.50229705,126.98946468,8210800607
74007,석봉토스트광주조선대점,"",광주광역시,동구,학동,카페/베이커리/디저트,943,35.14224500,126.92484224,4081571718
74008,주례동 월든,"",부산광역시,사상구,주례동,카페/베이커리/디저트,306,35.14712861,129.00647965,2306500309
74009,대치2)미즈호노 스시야,"",서울특별시,강남구,대치동,일식류,1441,37.50121562,127.05537269,8880100519
74010,밥엔짜글이 중방점,"",경상북도,경산시,중방동,한식,1483,35.82565438,128.73570836,4476500402
74011,♥부평6 마카롱&스콘,"",인천광역시,부평구,부평동,카페/베이커리/디저트,814,37.48539868,126.72992930,2182170359
74012,(동천)이디야 중앙점,이디야커피(이디야커피),경기도,용인시 수지구,동천동,카페/베이커리/디저트,881,37.33327950,127.09547085,3014167310
74013,장전동 에이티,"",부산광역시,금정구,장전동,카페/베이커리/디저트,296,35.22973932,129.08836604,8443200814
74014,코리아숯불닭바베큐 임학동,"",인천광역시,계양구,임학동,치킨,1896,37.54607652,126.73723062,1221575241
74015,사직동 카츠미야,"",부산광역시,동래구,사직동,한식,414,35.19621226,129.06113155,6194500595
74016,꿀스커피 송림점,"",인천광역시,동구,송림동,카페/베이커리/디저트,957,37.47632968,126.64691548,5262601097
74017,영등동 명량부대찌개,"",전라북도,익산시,영등동,한식,1028,35.96053387,126.97809098,6470301279
74018,(백석지점)백석경희한의원,"",경기도,고양시 일산동구,백석동,의류/잡화,597,37.64286624,126.78671378,2049128724
